,Date,DT_R,DT_NEE,Label,Res,NEE,NEE1,NEE2,GEE,PAR,Soil temperature,Chamber_temp,Soil_moist
58,20220629,"[datetime.datetime(2022, 6, 29, 12, 9)]",[],LC_HL3,,,,,,,,28.81285,
59,20220629,"[datetime.datetime(2022, 6, 29, 12, 13)]",[],LC_HL4,8.68281,,,,,,,29.52359,
60,20220629,"[datetime.datetime(2022, 6, 29, 12, 19)]",[],LC_HL5,7.06858,,,,,,,31.03515,
61,20220629,"[datetime.datetime(2022, 6, 29, 12, 21)]",[],LC_HL6,9.61575,,,,,,,30.19619,
62,20220629,"[datetime.datetime(2022, 6, 29, 12, 37)]",[],LH_UL1,9.12541,,,,,,,32.42533,
63,20220629,"[datetime.datetime(2022, 6, 29, 12, 42)]",[],LH_UL2,,,,,,,,32.31954,
64,20220629,"[datetime.datetime(2022, 6, 29, 12, 45)]",[],LH_UL3,10.89192,,,,,,,33.5141,
65,20220629,"[datetime.datetime(2022, 6, 29, 12, 50)]",[],LH_UL4,8.48198,,,,,,,33.18292,
66,20220629,"[datetime.datetime(2022, 6, 29, 12, 53)]",[],LH_UL5,10.32702,,,,,,,32.12439,
67,20220629,"[datetime.datetime(2022, 6, 29, 12, 58)]",[],LH_UL6,9.92179,,,,,,,32.38717,
68,20220629,"[datetime.datetime(2022, 6, 29, 13, 6)]",[],LH_SV1,10.23322,,,,,,,31.91513,
69,20220629,"[datetime.datetime(2022, 6, 29, 13, 14)]",[],LH_SV2,3.66133,,,,,,,26.73565,
